location,area_sqft,bhk,bathrooms,floor,total_floors,age_of_property,parking,lift,actual_price
nerul,1124.27,2.4597701149425286,3.0,14,6.0,11.7,0,0,12873786
airoli,855.72,4,2.0,29,32.0,14.2,0,0,12988255
airoli,1177.38,2.4597701149425286,2.5295887662988967,1,25.0,11.6,1,0,13737406
belapur,477.91,1,2.5295887662988967,8,30.0,10.5,0,0,8456886
kharghar,874.44,3,2.0,9,27.0,11.3,0,0,9121895
kharghar,1558.04,3,2.0,18,14.0,8.8,1,0,23830947
airoli,881.7,1,2.5295887662988967,16.55400254129606,24.0,6.4,1,0,15413988
ulwe,868.51,2,2.5295887662988967,34,8.0,18.8,0,1,13893854
belapur,1174.9,1,1.0,33,20.0,12.6,0,1,19758446
belapur,779.67,2,1.0,28,11.0,1.9,0,1,13419723
kharghar,1228.72,2,3.0,17,6.0,17.9,0,0,16873551
nerul,63.69,2.4597701149425286,3.0,10,7.0,22.3,1,0,826945
belapur,535.45,1,1.0,15,27.0,3.0,0,0,9638370
nerul,961.52,3,3.0,5,5.0,8.7,0,0,10800945
nerul,1045.79,4,4.0,32,24.0,3.3,1,0,15803253
kharghar,1553.91,2.4597701149425286,2.5295887662988967,5,28.0,10.4,0,1,26246899
airoli,558.05,3,2.5295887662988967,31,19.846280312371558,2.8,1,0,8543312
belapur,1422.05,3,3.0,31,9.0,14.9,0,0,24458392
cbd belapur,1357.0,2,2.5295887662988967,30,24.0,24.0,0,1,13829085
airoli,779.7,3,4.0,17,13.0,10.7,0,0,10526700
panvel,531.79,2,4.0,16.55400254129606,13.0,7.8,0,0,9689561
vashi,527.74,2.4597701149425286,2.5295887662988967,14,26.0,5.9,0,1,8240030
kharghar,1589.42,4,4.0,34,30.0,12.8,1,1,21697111
ulwe,836.15,3,4.0,25,22.0,3.8,0,0,11032304
cbd belapur,1278.94,4,1.0,19,17.0,3.0,1,0,17663058
panvel,2007.43,2,3.0,3,31.0,6.8,1,0,37229194
nerul,1640.79,1,4.0,12,33.0,5.6,1,0,28396840
nerul,1317.21,4,3.0,16.55400254129606,39.0,12.1,0,0,23629322
panvel,1145.07,2,4.0,9,27.0,12.5,1,0,15044748
airoli,917.62,2.4597701149425286,2.0,33,18.0,8.5,1,0,9402984
nerul,643.76,2,3.0,18,22.0,12.4,1,0,10809590
panvel,1389.86,2,2.5295887662988967,33,1.0,6.9,0,1,18028803
belapur,946.47,1,1.0,10,20.0,4.5,0,0,17769166
nerul,876.84,2,2.0,11,9.0,16.2,1,0,7987349
airoli,640.97,3,4.0,9,36.0,10.3,0,0,9860580
airoli,960.63,4,3.0,1,39.0,13.4,1,0,15070493
panvel,877.03,2.4597701149425286,2.5295887662988967,33,8.0,8.2,0,0,14063637
ulwe,1265.55,1,2.5295887662988967,27,31.0,15.0,1,0,17556127
panvel,1138.39,2,3.0,26,23.0,13.1,0,0,16115430
ghansoli,767.45,4,1.0,3,19.846280312371558,5.8,1,1,8745115
kharghar,1828.66,3,2.5295887662988967,24,37.0,12.6,0,0,29966275
nerul,1735.89,1,3.0,15,9.0,8.2,0,0,17306338
airoli,482.53,2,3.0,15,17.0,14.9,0,0,6288204
panvel,981.38,3,2.5295887662988967,31,19.846280312371558,9.1,1,0,15144952
kharghar,1056.02,2,2.5295887662988967,22,5.0,7.7,1,0,15321051
ulwe,615.94,3,4.0,19,9.0,1.2,0,1,6997419
airoli,3430.9657487994687,4,2.0,5,34.0,12.0,0,0,50507091.96410894
kharghar,394.16,2,2.0,16,32.0,14.2,0,1,5776653
ulwe,1361.51,2.4597701149425286,2.5295887662988967,26,18.0,11.0,0,1,20204246
nerul,648.29,2,2.5295887662988967,8,14.0,7.6,0,1,12171003
airoli,1331.25,1,4.0,15,1.0,11.1,1,0,16544238
kharghar,885.46,2,1.0,20,24.0,4.6,0,1,11128948
vashi,846.16,4,1.0,24,24.0,1.0,1,1,10422470
airoli,1462.38,3,2.5295887662988967,34,13.0,4.0,1,0,25171238
vashi,1362.1,2.4597701149425286,4.0,16,35.0,5.7,0,1,23077578
belapur,883.27,2.4597701149425286,3.0,0,32.0,22.8,0,0,10080388
belapur,669.1,2,2.0,5,28.0,14.1,1,1,6201268
vashi,951.22,1,2.5295887662988967,7,21.0,11.5,0,0,17749031
vashi,254.76,3,2.0,14,17.0,5.8,0,1,3175980
kharghar,364.85,2,4.0,7,29.0,10.6,0,1,3436956
airoli,1138.2,2,4.0,32,17.0,19.6,0,1,16278392
panvel,1182.69,2.4597701149425286,4.0,4,23.0,9.3,1,0,19788069
ulwe,259.73,2,4.0,7,8.0,15.5,0,1,4479329
ulwe,837.8,2.4597701149425286,3.0,15,4.0,13.3,0,1,13230653
kharghar,407.61,3,3.0,16.55400254129606,24.0,1.9,0,0,7707855
cbd belapur,735.87,3,3.0,31,36.0,7.5,1,0,13140599
vashi,977.97,2,3.0,16.55400254129606,29.0,15.3,1,0,15758353
nerul,565.98,4,1.0,30,20.0,7.3,0,0,9685385
airoli,1125.79,2.4597701149425286,4.0,9,5.0,7.4,0,0,15267281
nerul,977.43,2.4597701149425286,2.5295887662988967,9,18.0,1.6,1,0,15111682
airoli,1472.42,4,4.0,16.55400254129606,37.0,11.4,0,0,28199144
airoli,1498.74,2,2.0,12,35.0,9.1,0,0,27782369
cbd belapur,764.24,1,1.0,24,4.0,10.8,1,0,10630873
panvel,1304.75,3,2.0,33,20.0,5.5,0,1,16300610
vashi,949.27,4,3.0,0,4.0,8.8,1,0,12081056
panvel,102.39,1,4.0,11,11.0,0.1,0,0,820111
kharghar,1074.34,1,2.5295887662988967,16.55400254129606,16.0,1.5,0,0,12382782
belapur,1199.42,1,4.0,4,22.0,10.0,1,1,20411572
nerul,1497.37,2.4597701149425286,2.5295887662988967,14,36.0,15.1,0,0,19080915
panvel,1326.31,2.4597701149425286,1.0,15,32.0,2.1,0,1,13986799
airoli,397.43,3,2.0,31,26.0,9.3,0,0,5545225
airoli,524.64,2,4.0,26,11.0,2.8,0,1,5556647
airoli,1005.95,2,4.0,9,29.0,14.0,0,0,13658154
panvel,452.09,1,1.0,12,38.0,7.8,1,0,8429079
airoli,648.51,2.4597701149425286,2.0,23,28.0,13.3,1,1,9400425
kharghar,109.99,1,2.0,17,38.0,11.8,1,1,2098544
kharghar,699.16,2,2.5295887662988967,7,7.0,7.8,0,1,12902344
panvel,1305.82,2,4.0,29,7.0,17.5,0,1,23140224
airoli,1251.07,2,2.0,24,27.0,0.9,0,0,22188709
ghansoli,578.48,1,4.0,29,27.0,24.3409720571534,0,0,9403706
panvel,1689.34,3,2.5295887662988967,1,12.0,1.6,1,1,32471130
ghansoli,1206.05,3,3.0,5,8.0,13.8,1,0,17055571
airoli,848.83,1,4.0,25,28.0,8.2,0,0,13706820
ghansoli,656.58,2.4597701149425286,3.0,16.55400254129606,19.846280312371558,0.4,0,0,9330557
belapur,136.06,2,4.0,18,15.0,9.0,0,1,2041349
panvel,1166.66,2,1.0,17,19.846280312371558,16.1,0,1,15510673
cbd belapur,1336.72,4,3.0,24,35.0,12.3,1,0,28998176
kharghar,874.35,3,1.0,9,18.0,13.5,1,1,15931046
nerul,842.74,1,1.0,16.55400254129606,29.0,9.0,0,1,11080586
ulwe,923.57,3,1.0,25,3.0,0.7,0,1,14575639
ulwe,136.8,2.4597701149425286,2.0,20,30.0,20.7,0,0,1950826
nerul,765.53,2,2.0,31,23.0,12.5,0,0,11402078
kharghar,669.3,3,3.0,10,6.0,2.3,0,1,11634681
kharghar,771.8,4,4.0,12,19.0,16.7,1,1,11411305
nerul,1108.82,1,2.5295887662988967,23,9.0,13.1,1,0,12420274
panvel,881.33,2,2.5295887662988967,17,18.0,10.7,1,0,9815815
kharghar,936.8,2,2.0,14,15.0,4.9,1,1,16875869
ghansoli,802.92,3,2.5295887662988967,12,26.0,5.2,0,0,9746500
cbd belapur,1979.34,2.4597701149425286,2.0,18,23.0,8.4,1,1,18617730
kharghar,420.37,2,3.0,13,13.0,7.4,0,1,5988631
kharghar,3430.9657487994687,2,2.5295887662988967,16.55400254129606,14.0,11.2,0,1,50507091.96410894
cbd belapur,1669.71,3,1.0,21,20.0,11.2,1,1,20031423
nerul,164.39,1,2.0,18,17.0,3.9,0,0,1942123
kharghar,1414.77,3,4.0,7,5.0,17.3,0,0,25471873
panvel,875.66,3,3.0,22,1.0,9.9,1,0,17889381
ghansoli,871.14,2,2.0,1,19.846280312371558,1.0,0,1,11700795
airoli,3430.9657487994687,2,4.0,16.55400254129606,22.0,6.2,0,1,42931653
vashi,1115.52,4,3.0,24,10.0,15.3,0,1,19445709
nerul,1121.32,2,4.0,34,35.0,6.9,0,1,13394930
panvel,1415.83,2.4597701149425286,2.0,24,2.0,7.5,0,1,17343822
airoli,1253.59,1,2.5295887662988967,8,12.0,10.7,0,0,20030988
cbd belapur,1120.35,1,2.5295887662988967,0,16.0,8.1,0,1,18562820
belapur,848.57,2,4.0,9,3.0,5.2,0,1,12047445
belapur,880.95,2,4.0,3,13.0,11.8,0,1,14239960
airoli,771.39,3,2.0,12,10.0,13.1,1,1,9692201
airoli,1524.55,1,3.0,20,31.0,1.7,0,0,16024483
kharghar,939.36,2,2.0,21,18.0,15.2,0,0,16973075
ulwe,1218.09,2.4597701149425286,1.0,11,21.0,12.1,0,1,15183252
nerul,585.47,4,4.0,25,1.0,0.7,1,0,11052011
panvel,816.09,3,4.0,11,5.0,5.6,0,0,10151582
panvel,359.41,4,2.0,25,14.0,10.7,0,1,6216951
vashi,987.76,2,2.5295887662988967,25,38.0,10.2,0,0,13898522
ghansoli,1190.85,2.4597701149425286,2.5295887662988967,16,23.0,8.4,1,0,16316427
ulwe,619.88,2,2.0,1,14.0,5.0,0,0,9530411
airoli,631.57,2,2.5295887662988967,20,20.0,8.6,0,0,7712264
belapur,906.8,2.4597701149425286,3.0,3,8.0,4.4,0,0,14652278
nerul,81.1,2,4.0,30,11.0,1.1,0,1,1239273
panvel,656.74,2,1.0,14,28.0,19.4,1,0,11354182
panvel,1597.84,1,3.0,27,8.0,13.6,1,0,17543059
panvel,1039.78,3,1.0,26,32.0,14.3,0,1,15429296
cbd belapur,1033.78,1,2.5295887662988967,10,16.0,5.6,0,1,16545580
nerul,948.6,3,2.0,0,15.0,5.5,1,1,15078683
cbd belapur,1258.77,1,2.0,3,18.0,10.6,0,0,15384902
nerul,963.85,2.4597701149425286,4.0,26,34.0,16.2,0,1,8549710
nerul,411.77,2,2.5295887662988967,20,26.0,18.2,0,1,3483416
kharghar,1471.31,2,1.0,15,4.0,11.5,1,0,15270943
ulwe,1526.78,1,2.5295887662988967,2,35.0,4.9,0,0,16503905
nerul,756.55,2,3.0,28,10.0,13.1,0,0,9123487
nerul,909.15,2,1.0,34,11.0,13.9,0,1,13407821
belapur,2778.55,2,4.0,28,16.0,11.0,1,1,32389289
kharghar,939.92,4,4.0,19,5.0,11.8,0,0,11886994
kharghar,1655.97,2,2.5295887662988967,19,36.0,24.3409720571534,1,1,29784238
airoli,1614.17,1,3.0,4,11.0,5.6,0,1,15422326
nerul,1747.74,1,1.0,24,17.0,6.3,0,0,21730868
kharghar,1118.92,3,2.5295887662988967,4,15.0,8.8,1,1,20732671
kharghar,1383.08,2.4597701149425286,4.0,31,20.0,5.2,0,0,21581302
nerul,932.87,2,3.0,4,7.0,8.3,0,1,9716098
panvel,74.16,3,2.0,10,35.0,1.7,1,0,1221705
vashi,1198.63,2,3.0,18,31.0,5.8,0,1,23006520
airoli,327.37,2.4597701149425286,2.0,15,34.0,5.4,0,0,4345409
airoli,1237.58,2,4.0,0,19.846280312371558,14.0,0,0,17717482
kharghar,125.7,2,3.0,29,19.0,9.8,0,1,2044763
panvel,847.08,3,1.0,34,19.846280312371558,14.5,0,0,8800312
kharghar,861.58,2.4597701149425286,4.0,16.55400254129606,27.0,8.4,1,0,14054526
ulwe,858.41,2,4.0,16.55400254129606,16.0,8.5,0,1,8198075
belapur,1566.13,2,1.0,12,21.0,4.7,1,1,16787632
nerul,749.3,3,4.0,26,30.0,13.5,1,1,14152260
kharghar,816.94,2.4597701149425286,1.0,31,11.0,14.6,1,0,8563880
panvel,1134.02,1,4.0,28,26.0,9.4,0,0,14137503
kharghar,1708.06,1,2.0,8,31.0,6.4,0,1,22838391
ulwe,1161.11,2.4597701149425286,2.0,1,10.0,13.0,0,0,14721206
ghansoli,922.55,2,2.0,24,26.0,0.2,1,0,11628397
kharghar,235.45,4,2.0,22,35.0,4.3,0,0,4920014
airoli,1056.85,2.4597701149425286,2.0,7,15.0,11.1,0,0,15754465
airoli,1297.47,4,2.0,29,1.0,2.1,0,0,16616236
panvel,-351.79,2.4597701149425286,3.0,14,3.0,15.2,0,1,-3981893
kharghar,1082.95,2.4597701149425286,4.0,13,26.0,5.7,1,1,17475406
cbd belapur,1398.74,3,2.0,23,21.0,15.9,0,1,18758043
panvel,936.19,4,2.0,16.55400254129606,20.0,2.2,0,0,10845277
kharghar,642.34,3,4.0,20,8.0,2.4,1,0,11990005
kharghar,927.22,2.4597701149425286,2.0,22,34.0,9.8,1,1,12776285
airoli,620.21,2,2.0,16.55400254129606,2.0,3.5,1,1,5449498
nerul,1575.16,4,3.0,18,11.0,6.4,1,0,19286161
belapur,1043.55,2,4.0,17,21.0,15.0,1,1,12927783
ghansoli,836.51,2.4597701149425286,4.0,26,25.0,11.5,0,0,9190872
cbd belapur,905.51,1,2.5295887662988967,22,14.0,2.6,0,1,15684609
panvel,134.65,1,4.0,5,28.0,12.5,1,0,1921357
panvel,1238.59,2.4597701149425286,4.0,31,10.0,11.8,0,1,15927819
ghansoli,493.33,1,3.0,16.55400254129606,38.0,5.7,1,0,9186220
cbd belapur,8.67,4,2.5295887662988967,31,8.0,4.2,0,0,783750
kharghar,1320.27,4,3.0,7,39.0,8.2,0,0,24155746
ulwe,1000.34,2,2.0,16,13.0,14.2,1,0,18537344
panvel,1103.23,1,2.0,26,35.0,3.2,0,1,19376929
belapur,2246.06,4,4.0,6,31.0,13.4,0,0,44346106
ghansoli,1251.49,2,1.0,5,27.0,13.6,0,0,13967281
ghansoli,424.15,2,3.0,20,14.0,2.6,0,0,7822142
panvel,14.73,2,1.0,18,24.0,0.3,1,0,441508
airoli,572.98,3,1.0,23,6.0,17.7,1,0,7886312
ulwe,896.37,2,4.0,16.55400254129606,38.0,1.6,0,0,12667773
nerul,1086.24,3,3.0,18,37.0,16.6,1,0,19422583
panvel,1232.59,2,3.0,33,39.0,14.7,1,1,15504816
belapur,1171.3,3,4.0,16.55400254129606,30.0,0.9,0,1,13990020
panvel,968.57,2,2.5295887662988967,14,27.0,0.2,1,1,16041426
airoli,592.26,2.4597701149425286,2.0,7,16.0,3.9,0,1,10433864
airoli,819.32,2,2.0,30,18.0,1.7,1,0,8857743
ghansoli,1301.77,2.4597701149425286,4.0,5,7.0,1.5,0,1,18691871
kharghar,1089.03,2.4597701149425286,2.5295887662988967,21,37.0,4.8,1,1,9592394
cbd belapur,1214.9,1,3.0,6,35.0,2.4,1,0,12437275
airoli,449.99,2,2.0,22,1.0,10.2,1,0,5780341
cbd belapur,1004.08,2.4597701149425286,2.5295887662988967,8,4.0,6.0,0,0,13237286
kharghar,837.11,3,3.0,25,6.0,9.8,1,0,11415509
nerul,627.79,3,3.0,1,35.0,6.7,1,0,11908624
nerul,1807.2,1,3.0,8,34.0,5.2,0,0,31253420
vashi,1070.56,2,2.5295887662988967,18,21.0,7.8,0,1,18701726
belapur,666.23,2.4597701149425286,4.0,16,32.0,11.9,1,0,8266749
airoli,1825.06,2.4597701149425286,1.0,5,8.0,3.4,0,1,22822797
kharghar,425.01,2,2.5295887662988967,8,1.0,11.2,0,0,5943118
nerul,1348.39,2.4597701149425286,2.0,30,7.0,3.8,0,0,14518984
airoli,1081.37,1,1.0,7,4.0,14.3,0,0,19009027
airoli,836.13,2,2.0,3,26.0,5.4,0,0,11327917
belapur,537.41,2,2.0,33,28.0,12.0,1,1,9434744
panvel,819.93,2.4597701149425286,2.5295887662988967,30,3.0,2.4,0,0,7914673
airoli,1526.51,1,3.0,28,16.0,0.6,0,0,21885999
nerul,1525.72,2.4597701149425286,1.0,5,31.0,10.5,0,0,18035083
ghansoli,911.35,2.4597701149425286,4.0,16,19.0,7.2,0,1,15670250
panvel,605.77,2.4597701149425286,3.0,25,9.0,6.1,0,1,9953953
ulwe,3430.9657487994687,4,3.0,1,23.0,13.4,1,1,50507091.96410894
airoli,1749.55,2,4.0,4,1.0,20.2,1,0,19422221
belapur,1142.27,2.4597701149425286,1.0,4,24.0,9.5,0,1,16366101
vashi,1333.35,1,1.0,13,34.0,8.3,1,0,15541650
panvel,1799.91,2,3.0,28,19.846280312371558,16.0,0,0,25056386
cbd belapur,1482.83,2.4597701149425286,4.0,27,4.0,3.2,1,0,24871804
belapur,1262.47,2,1.0,8,34.0,2.2,0,0,20791939
nerul,1687.37,1,1.0,27,9.0,16.2,0,0,31920538
cbd belapur,1185.4,2.4597701149425286,1.0,20,27.0,12.0,0,0,20649858
belapur,791.12,2.4597701149425286,2.0,33,1.0,17.6,1,1,10327600
nerul,997.84,2,2.0,32,38.0,13.9,1,0,9669891
nerul,1139.26,4,2.0,32,21.0,3.8,0,0,12696327
nerul,1085.48,2,4.0,10,28.0,15.2,1,1,16493928
belapur,945.31,2,1.0,23,10.0,5.2,1,0,16274802
cbd belapur,667.92,2.4597701149425286,2.5295887662988967,23,27.0,3.8,0,0,10012877
kharghar,1180.7,3,4.0,6,34.0,19.2,1,0,21282815
airoli,754.69,2,1.0,31,7.0,11.8,0,1,8904107
kharghar,1154.21,1,1.0,24,10.0,9.2,1,0,15282177
panvel,1173.49,2.4597701149425286,2.5295887662988967,18,38.0,7.1,0,1,18444581
cbd belapur,546.88,3,4.0,14,3.0,1.3,1,0,8055204
cbd belapur,1110.77,2.4597701149425286,1.0,11,25.0,3.7,0,0,16842882
panvel,1553.2,2,2.5295887662988967,0,17.0,4.9,1,0,25001722
panvel,1012.66,1,2.5295887662988967,18,30.0,9.5,0,1,14418625
kharghar,185.16,2,2.5295887662988967,18,2.0,10.4,1,0,2188692
belapur,1254.13,2,2.0,29,36.0,1.4,0,1,24774467
panvel,1440.56,2,1.0,23,16.0,14.9,1,0,19373816
vashi,1222.09,1,2.5295887662988967,30,17.0,3.6,1,1,17479222
nerul,1548.44,2.4597701149425286,4.0,33,16.0,5.1,1,1,26352840
ulwe,1309.16,2.4597701149425286,3.0,16,32.0,6.8,0,0,13866046
nerul,983.01,2.4597701149425286,1.0,34,25.0,7.0,0,0,11104708
airoli,1082.54,2,1.0,20,34.0,11.2,0,0,14128757
kharghar,607.96,3,2.0,16.55400254129606,25.0,0.8,0,1,9067584
kharghar,844.19,2.4597701149425286,4.0,33,19.846280312371558,4.0,0,1,9315058
nerul,988.8,2.4597701149425286,1.0,13,14.0,11.6,1,1,13625999
ghansoli,1452.48,1,4.0,24,14.0,15.1,0,0,17656346
ghansoli,1273.71,1,1.0,32,38.0,8.7,0,0,14884164
cbd belapur,604.29,2,2.5295887662988967,25,38.0,14.8,1,1,9986009
belapur,1124.03,1,3.0,29,17.0,6.2,0,0,13581935
ulwe,1651.28,2.4597701149425286,4.0,30,4.0,5.8,1,1,16695439
airoli,501.45,3,2.0,19,24.0,5.6,1,0,9796347
nerul,769.34,2.4597701149425286,4.0,22,31.0,9.2,0,0,12644765
airoli,192.9,2,4.0,9,35.0,9.9,0,1,2570829
nerul,133.81,3,4.0,12,31.0,10.5,0,0,1950081
airoli,130.21,1,1.0,25,32.0,15.6,0,0,1580396
ulwe,1000.09,2,3.0,5,20.0,5.4,1,0,19923705
airoli,1083.09,3,3.0,11,28.0,0.0,0,0,21870732
cbd belapur,1797.14,1,2.5295887662988967,6,33.0,1.0,0,0,27736155
nerul,886.26,1,2.0,5,11.0,5.8,0,1,9540554
airoli,1324.18,4,4.0,1,30.0,11.0,1,0,14866630
kharghar,1138.62,3,1.0,28,29.0,3.0,0,0,21492728
airoli,978.91,2,2.5295887662988967,20,22.0,2.1,0,0,16925492
airoli,1152.16,4,3.0,2,1.0,9.2,1,0,16536069
vashi,1197.34,3,2.5295887662988967,12,16.0,16.7,0,0,20332617
panvel,894.62,2.4597701149425286,3.0,12,10.0,0.7,0,0,8540920
airoli,913.92,4,2.0,26,21.0,11.0,0,0,15873000
cbd belapur,1158.27,4,2.0,11,28.0,13.1,0,1,19057807
kharghar,1000.59,2.4597701149425286,1.0,11,10.0,1.5,1,0,10014922
airoli,1483.55,4,4.0,10,20.0,23.0,0,1,25016172
kharghar,1401.07,4,1.0,33,18.0,3.7,0,0,27068477
panvel,1296.87,3,4.0,25,30.0,5.0,0,1,14223228
cbd belapur,3430.9657487994687,2,4.0,15,14.0,2.5,0,1,78350830
nerul,750.97,2.4597701149425286,1.0,22,5.0,14.9,0,0,7025293
ulwe,656.36,2,1.0,7,17.0,8.5,1,0,7259613
belapur,3430.9657487994687,1,3.0,8,30.0,4.3,0,1,51537342
airoli,787.02,2,4.0,26,19.0,4.4,1,0,11910325
airoli,970.21,4,2.5295887662988967,22,38.0,9.0,0,0,19084011
ulwe,617.82,4,2.5295887662988967,8,6.0,11.1,0,1,12165470
panvel,818.84,4,4.0,25,1.0,8.9,1,1,15836955
nerul,688.25,2.4597701149425286,1.0,16.55400254129606,14.0,3.4,0,0,11535015
airoli,412.75,2,2.0,30,28.0,5.6,0,1,6892439
belapur,623.04,1,3.0,21,28.0,9.9,1,0,8220114
ulwe,1399.22,4,2.0,9,14.0,0.3,0,1,17121449
airoli,713.73,3,2.5295887662988967,0,8.0,4.6,1,0,8311631
airoli,443.24,3,1.0,26,8.0,10.6,1,0,7278854
ghansoli,1713.77,2,3.0,29,15.0,12.9,0,0,28453093
nerul,658.17,2,2.0,6,6.0,2.7,0,0,8531466
ulwe,513.61,2,2.5295887662988967,8,4.0,5.5,0,0,6791715
airoli,1265.17,4,4.0,13,15.0,10.8,1,1,19670019
ulwe,1338.73,2,2.0,27,33.0,7.8,1,1,23672428
cbd belapur,3430.9657487994687,4,2.0,3,10.0,0.4,1,1,50507091.96410894
airoli,764.19,3,3.0,16,15.0,4.3,1,0,13242338
panvel,1561.57,2,3.0,32,3.0,10.2,0,0,26655042
kharghar,1039.69,4,3.0,20,32.0,5.9,0,0,11809091
panvel,1049.82,1,2.5295887662988967,14,37.0,1.1,1,0,15218591
panvel,909.95,3,2.0,11,24.0,8.3,0,1,13259234
kharghar,836.86,2,2.5295887662988967,18,12.0,15.7,0,0,8838223
kharghar,739.3,3,4.0,14,38.0,12.0,1,0,8319929
nerul,1691.36,2,4.0,16,24.0,10.7,1,0,29933047
cbd belapur,482.03,2,1.0,18,24.0,9.2,1,0,5511956
ulwe,1017.22,4,1.0,12,1.0,2.0,0,0,16524424
airoli,1075.06,2.4597701149425286,2.0,6,25.0,18.7,0,0,15001569
ghansoli,1809.39,2,4.0,21,5.0,17.7,1,1,22906453
nerul,556.15,1,4.0,16,20.0,11.4,0,0,6675945
nerul,261.96,2.4597701149425286,4.0,22,20.0,4.4,1,0,3755642
ghansoli,686.16,1,1.0,11,36.0,3.8,1,0,9280413
kharghar,792.58,4,2.5295887662988967,34,12.0,12.1,1,0,14531704
airoli,1050.82,1,2.5295887662988967,11,22.0,5.7,1,1,13370186
nerul,3430.9657487994687,1,4.0,8,15.0,14.1,1,1,50507091.96410894
ghansoli,723.44,3,2.0,25,36.0,13.0,0,1,8375039
vashi,282.35,3,2.0,4,3.0,3.4,1,0,3428709
nerul,1049.82,2.4597701149425286,2.5295887662988967,30,14.0,0.9,0,1,15939140
nerul,899.93,4,4.0,20,15.0,13.1,0,1,10648372
cbd belapur,484.72,2,1.0,9,21.0,8.1,0,1,10145898
ulwe,494.88,2,2.0,16,6.0,11.1,0,1,9124729
kharghar,737.6,2,1.0,16,25.0,4.3,0,0,12717236
ulwe,100.44,3,2.0,15,37.0,4.8,0,0,689971
cbd belapur,3430.9657487994687,2.4597701149425286,1.0,20,28.0,3.2,0,1,50507091.96410894
nerul,619.11,2.4597701149425286,4.0,3,14.0,11.1,1,0,11699533
ghansoli,388.96,2,2.5295887662988967,3,20.0,18.5,0,1,6440657
airoli,782.23,3,2.0,23,34.0,12.5,1,0,8798530
cbd belapur,920.23,3,3.0,7,27.0,11.7,0,1,11819900
panvel,1111.72,3,3.0,9,7.0,15.4,0,0,20379036
airoli,1172.49,3,4.0,31,37.0,10.7,0,0,12644383
nerul,602.81,4,3.0,10,26.0,6.7,1,0,6840628
ulwe,1291.76,2,2.5295887662988967,25,17.0,10.0,0,0,22639707
nerul,684.89,2.4597701149425286,4.0,23,12.0,2.5,1,0,7871862
nerul,349.69,3,2.5295887662988967,29,27.0,9.0,1,0,3321441
airoli,1416.84,2,4.0,27,33.0,17.7,1,1,18970284
ulwe,703.62,2.4597701149425286,2.0,9,35.0,1.9,0,0,10490332
kharghar,589.73,4,2.5295887662988967,11,37.0,2.2,0,0,12678311
ghansoli,1523.72,2,3.0,31,39.0,9.7,0,0,20721869
belapur,1153.61,4,1.0,7,28.0,14.9,0,1,16243063
nerul,666.95,2,2.5295887662988967,29,29.0,3.7,0,0,11006576
nerul,1299.13,2,2.5295887662988967,26,35.0,2.2,1,0,12745896
vashi,1503.81,1,4.0,24,22.0,10.7,0,0,25358242
vashi,1298.88,3,2.0,8,39.0,6.1,0,0,23084382
ghansoli,1503.28,1,2.5295887662988967,10,8.0,15.6,0,0,16236948
airoli,855.3,1,2.5295887662988967,1,4.0,12.0,1,0,10263524
vashi,783.0,2,2.0,28,30.0,3.2,0,1,9503578
vashi,1079.3,3,2.5295887662988967,18,2.0,15.5,0,0,16795400
kharghar,1227.87,2,1.0,13,13.0,5.4,0,1,13374048
airoli,1073.81,3,2.0,2,18.0,12.2,1,0,13386398
vashi,1447.54,1,3.0,32,7.0,7.4,1,1,27685265
panvel,1008.13,2.4597701149425286,2.0,8,20.0,8.3,1,0,12540598
ghansoli,451.76,2.4597701149425286,1.0,8,4.0,3.8,0,1,4967390
ghansoli,925.56,2.4597701149425286,3.0,32,2.0,8.4,0,1,8743928
panvel,203.38,2,1.0,7,2.0,14.0,0,1,3802472
kharghar,1384.39,3,3.0,12,2.0,6.0,0,0,14652894
belapur,1420.87,2,2.0,28,1.0,8.8,1,0,20758283
ulwe,812.72,3,3.0,31,21.0,4.5,0,0,13756307
nerul,949.08,4,2.5295887662988967,31,10.0,7.9,0,1,19697930
kharghar,1103.59,4,2.5295887662988967,4,20.0,6.3,0,0,14646664
kharghar,-86.42,1,3.0,1,21.0,4.7,1,1,-1057893
nerul,1042.03,2.4597701149425286,1.0,19,35.0,11.0,0,0,16003508
kharghar,1846.37,3,4.0,20,10.0,10.9,0,0,30554854
kharghar,546.02,1,2.0,9,21.0,3.6,0,1,7377967
nerul,1313.21,1,2.5295887662988967,16,23.0,3.8,0,0,14004345
ulwe,596.07,2,3.0,23,19.0,9.7,0,0,10707906
airoli,698.61,4,2.0,24,7.0,6.2,1,0,11424626
vashi,408.39,2.4597701149425286,1.0,6,8.0,4.7,0,0,6053108
ulwe,721.6,1,2.0,20,2.0,6.4,0,0,13345610
belapur,1769.48,1,4.0,10,28.0,1.8,0,1,25588839
ghansoli,1381.16,4,1.0,24,28.0,4.7,1,1,24343238
vashi,1355.86,2,2.0,12,5.0,3.1,1,0,21633756
ghansoli,627.93,4,2.5295887662988967,3,20.0,14.5,1,0,9934222
vashi,1197.49,1,1.0,14,3.0,12.4,0,0,20795845
ulwe,856.56,2,2.0,29,25.0,9.2,1,1,9451054
ghansoli,1390.24,3,2.0,14,28.0,9.5,1,1,15950407
kharghar,1382.94,1,4.0,2,32.0,0.4,1,0,21602398
vashi,1825.4,2.4597701149425286,2.5295887662988967,22,22.0,6.6,1,1,17323272
